id_materia,nombre,archivo_pdf,id_semestre
1106,ALGEBRA SUPERIOR,https://mac.acatlan.unam.mx/media/temarios/1644/1106.pdf,1
1107,CALCULO I,https://mac.acatlan.unam.mx/media/temarios/1644/1107.pdf,1
1111,ORGANIZACION DE COMPUTADORAS,https://mac.acatlan.unam.mx/media/temarios/1644/1111.pdf,1
1112,PROGRAMACION I,https://mac.acatlan.unam.mx/media/temarios/1644/1112.pdf,1
1113,SOLUCION ALGORITMICA DE PROBLEMA,https://mac.acatlan.unam.mx/media/temarios/1644/1113.pdf,1
1208,LOGICA MATEMATICA,https://mac.acatlan.unam.mx/media/temarios/1644/1208.pdf,1
1206,ALGEBRA LINEAL,https://mac.acatlan.unam.mx/media/temarios/1644/1206.pdf,2
1207,CALCULO II,https://mac.acatlan.unam.mx/media/temarios/1644/1207.pdf,2
1211,GEOMETRIA DEL ESPACIO,https://mac.acatlan.unam.mx/media/temarios/1644/1211.pdf,2
1212,INGLES INTERMEDIO I,https://mac.acatlan.unam.mx/media/temarios/1644/1212.pdf,2
1213,PROGRAMACION II,https://mac.acatlan.unam.mx/media/temarios/1644/1213.pdf,2
1214,REDES DE COMPUTO,https://mac.acatlan.unam.mx/media/temarios/1644/1214.pdf,2
1306,CALCULO III,https://mac.acatlan.unam.mx/media/temarios/1644/1306.pdf,3
1309,PROGRAMACION ORIENTADA A OBJETOS,https://mac.acatlan.unam.mx/media/temarios/1644/1309.pdf,3
1311,ESTRUCTURAS DE DATOS,https://mac.acatlan.unam.mx/media/temarios/1644/1311.pdf,3
1312,INGLES INTERMEDIO II,https://mac.acatlan.unam.mx/media/temarios/1644/1312.pdf,3
1313,METODOS NUMERICOS I,https://mac.acatlan.unam.mx/media/temarios/1644/1313.pdf,3
1408,MATEMATICAS DISCRETAS,https://mac.acatlan.unam.mx/media/temarios/1644/1408.pdf,3
1308,METODOS NUMERICOS II,https://mac.acatlan.unam.mx/media/temarios/1644/1308.pdf,4
1310,TEORIA DE GRAFICAS,https://mac.acatlan.unam.mx/media/temarios/1644/1310.pdf,4
1406,BASE DE DATOS,https://mac.acatlan.unam.mx/media/temarios/1644/1406.pdf,4
1410,PROBABILIDAD,https://mac.acatlan.unam.mx/media/temarios/1644/1410.pdf,4
1411,CALCULO IV,https://mac.acatlan.unam.mx/media/temarios/1644/1411.pdf,4
1412,INGLES AVANZADO I,https://mac.acatlan.unam.mx/media/temarios/1644/1412.pdf,4
